Age,Balance,NumOfProducts,IsActiveMember,Geography_Germany,Geography_Spain,Gender_Male
20,95830.43,1,0,0.0,0.0,1.0
63,0.0,2,1,0.0,1.0,0.0
31,118870.92,1,0,0.0,0.0,1.0
20,0.0,2,0,0.0,0.0,1.0
18,0.0,2,1,0.0,0.0,1.0
33,0.0,2,1,0.0,0.0,1.0
31,41299.03,1,1,0.0,0.0,0.0
23,136100.69,2,0,0.0,1.0,0.0
39,0.0,2,0,0.0,0.0,1.0
43,121152.05,2,0,1.0,0.0,1.0
43,0.0,2,0,0.0,1.0,0.0
33,115182.84,2,1,1.0,0.0,0.0
42,95386.82,1,1,0.0,1.0,0.0
21,0.0,2,0,0.0,0.0,0.0
45,131038.14,1,0,1.0,0.0,1.0
37,103769.22,2,0,1.0,0.0,0.0
74,0.0,2,1,0.0,0.0,0.0
30,0.0,2,0,0.0,1.0,1.0
39,135134.99,1,0,1.0,0.0,0.0
33,80002.33,1,1,1.0,0.0,1.0
41,100254.76,2,1,0.0,0.0,1.0
44,92436.86,1,0,0.0,0.0,0.0
31,0.0,2,0,0.0,0.0,0.0
39,137843.8,1,1,1.0,0.0,0.0
47,154543.98,1,0,0.0,0.0,0.0
38,0.0,1,1,0.0,0.0,1.0
49,0.0,1,0,0.0,1.0,1.0
60,143262.04,1,1,0.0,0.0,0.0
33,0.0,2,0,0.0,1.0,1.0
51,105701.91,1,1,1.0,0.0,0.0
37,134752.08,1,0,0.0,0.0,1.0
33,115409.6,1,1,0.0,1.0,0.0
31,82613.56,2,0,0.0,1.0,1.0
34,199229.14,1,0,0.0,1.0,1.0
34,65812.35,2,1,0.0,1.0,1.0
33,116474.28,2,1,0.0,1.0,1.0
37,171653.17,1,1,0.0,1.0,1.0
43,0.0,2,0,0.0,1.0,0.0
75,0.0,2,1,0.0,1.0,0.0
37,0.0,2,1,0.0,1.0,1.0
38,130588.82,1,1,0.0,0.0,1.0
33,109341.87,1,0,1.0,0.0,1.0
38,0.0,2,0,0.0,0.0,1.0
30,116295.29,1,0,0.0,0.0,1.0
33,173331.52,1,0,0.0,1.0,0.0
37,0.0,2,0,0.0,0.0,1.0
38,0.0,2,0,0.0,0.0,0.0
35,71829.34,1,1,0.0,1.0,1.0
30,0.0,2,1,0.0,1.0,1.0
46,0.0,2,0,0.0,0.0,0.0
54,123699.28,2,1,1.0,0.0,0.0
33,127343.4,1,1,0.0,1.0,1.0
38,122267.85,1,0,0.0,1.0,1.0
39,0.0,2,0,0.0,0.0,0.0
45,85325.93,1,0,0.0,0.0,0.0
32,0.0,2,1,0.0,0.0,1.0
33,0.0,2,0,0.0,0.0,0.0
31,0.0,2,1,0.0,1.0,1.0
42,0.0,2,0,0.0,0.0,0.0
36,138992.48,2,0,1.0,0.0,1.0
38,61482.47,1,1,1.0,0.0,0.0
71,0.0,2,1,0.0,0.0,0.0
48,118469.38,1,1,0.0,0.0,1.0
35,129717.3,2,0,0.0,0.0,1.0
55,119327.93,1,1,1.0,0.0,0.0
32,117337.54,2,1,0.0,0.0,1.0
43,86920.86,1,1,1.0,0.0,1.0
39,129669.32,2,0,0.0,0.0,1.0
27,0.0,1,1,0.0,1.0,1.0
30,0.0,1,0,0.0,0.0,0.0
31,102289.85,1,1,0.0,1.0,0.0
34,0.0,2,0,0.0,0.0,0.0
24,0.0,1,1,0.0,0.0,1.0
46,0.0,1,0,0.0,1.0,1.0
52,100755.66,1,1,0.0,0.0,1.0
50,133204.91,1,1,0.0,1.0,0.0
49,110132.55,3,1,0.0,1.0,0.0
30,0.0,2,0,0.0,0.0,1.0
60,128981.07,1,1,1.0,0.0,0.0
33,138162.81,1,0,0.0,0.0,0.0
32,137649.47,1,0,0.0,0.0,0.0
36,130809.77,1,0,1.0,0.0,1.0
42,99580.13,1,0,0.0,0.0,1.0
31,149085.9,2,1,1.0,0.0,1.0
38,135157.05,1,1,1.0,0.0,0.0
43,110646.54,1,0,0.0,1.0,0.0
60,120731.39,4,1,0.0,0.0,0.0
40,114318.78,2,0,1.0,0.0,1.0
30,77949.69,1,1,1.0,0.0,0.0
36,89772.3,1,0,0.0,1.0,1.0
38,0.0,2,1,0.0,0.0,0.0
38,120530.13,2,0,1.0,0.0,0.0
30,0.0,2,1,0.0,0.0,0.0
33,0.0,2,1,0.0,1.0,1.0
35,0.0,2,0,0.0,1.0,0.0
30,89182.09,1,1,0.0,0.0,1.0
24,98567.1,1,0,0.0,1.0,0.0
52,97720.35,2,0,1.0,0.0,1.0
40,0.0,2,1,0.0,0.0,0.0
43,79757.21,1,0,0.0,1.0,1.0
42,0.0,2,1,0.0,0.0,1.0
40,104784.23,1,0,0.0,1.0,1.0
39,120145.96,2,1,0.0,0.0,0.0
29,132450.24,1,1,0.0,1.0,1.0
47,0.0,1,0,0.0,0.0,1.0
38,0.0,1,0,0.0,1.0,1.0
31,0.0,2,0,0.0,1.0,0.0
35,57369.61,1,1,0.0,0.0,1.0
21,176511.08,1,1,0.0,0.0,0.0
23,156123.73,1,0,0.0,0.0,0.0
31,0.0,2,0,0.0,0.0,0.0
59,0.0,2,1,0.0,0.0,0.0
32,59271.82,1,1,0.0,0.0,1.0
59,0.0,1,0,0.0,0.0,0.0
41,0.0,2,1,0.0,0.0,1.0
31,93249.4,1,0,0.0,0.0,1.0
54,0.0,1,0,0.0,0.0,1.0
42,63227.0,1,1,1.0,0.0,1.0
36,0.0,2,1,0.0,1.0,1.0
44,95671.75,2,1,0.0,0.0,0.0
82,0.0,2,1,0.0,0.0,0.0
65,0.0,2,1,0.0,0.0,1.0
35,106518.52,1,1,0.0,1.0,1.0
23,0.0,2,1,0.0,1.0,1.0
44,109528.28,1,0,0.0,0.0,0.0
36,0.0,2,1,0.0,0.0,1.0
24,0.0,2,0,0.0,0.0,0.0
39,86350.87,2,0,1.0,0.0,1.0
44,0.0,1,1,0.0,0.0,1.0
35,0.0,2,0,0.0,0.0,1.0
37,107548.94,1,0,0.0,0.0,1.0
27,135096.05,1,1,1.0,0.0,1.0
52,111284.53,1,1,0.0,1.0,1.0
36,0.0,2,1,0.0,0.0,0.0
34,156478.62,1,1,0.0,1.0,1.0
31,96288.26,1,0,0.0,0.0,1.0
42,0.0,2,0,0.0,0.0,0.0
32,63763.49,1,0,0.0,0.0,0.0
41,142015.76,2,0,1.0,0.0,0.0
27,117307.44,2,1,0.0,0.0,0.0
62,0.0,2,1,0.0,1.0,1.0
48,0.0,1,1,0.0,0.0,1.0
41,127841.52,1,0,1.0,0.0,1.0
37,0.0,2,1,0.0,0.0,0.0
38,0.0,2,0,0.0,0.0,0.0
30,0.0,2,0,0.0,1.0,1.0
37,177657.35,1,1,0.0,1.0,1.0
30,0.0,2,1,0.0,0.0,0.0
47,95523.16,1,0,1.0,0.0,0.0
50,143054.56,1,1,0.0,0.0,0.0
28,135936.1,2,1,0.0,1.0,1.0
38,88758.95,2,0,0.0,0.0,0.0
32,0.0,1,0,0.0,1.0,0.0
38,0.0,2,0,0.0,0.0,0.0
43,128412.61,1,1,0.0,1.0,0.0
21,0.0,2,1,0.0,0.0,1.0
47,109387.33,1,0,0.0,0.0,0.0
