Age,Balance,NumOfProducts,IsActiveMember,BalanceRatio,AgePerProduct,BalancePerProduct,Age_IsActive,Geography_Germany,Geography_Spain,Gender_Male
20,95830.43,1,0,0.5391638345173354,20.0,95830.43,0,0.0,0.0,1.0
63,0.0,2,1,0.0,31.5,0.0,63,0.0,1.0,0.0
31,118870.92,1,0,1.1687907843324843,31.0,118870.92,0,0.0,0.0,1.0
20,0.0,2,0,0.0,10.0,0.0,0,0.0,0.0,1.0
18,0.0,2,1,0.0,9.0,0.0,18,0.0,0.0,1.0
33,0.0,2,1,0.0,16.5,0.0,33,0.0,0.0,1.0
31,41299.03,1,1,0.40220587347338344,31.0,41299.03,31,0.0,0.0,0.0
23,136100.69,2,0,0.8021525752473945,11.5,68050.345,0,0.0,1.0,0.0
39,0.0,2,0,0.0,19.5,0.0,0,0.0,0.0,1.0
43,121152.05,2,0,1.8880829152816025,21.5,60576.025,0,1.0,0.0,1.0
43,0.0,2,0,0.0,21.5,0.0,0,0.0,1.0,0.0
33,115182.84,2,1,0.6497248608848596,16.5,57591.42,33,1.0,0.0,0.0
42,95386.82,1,1,1.2595270839041492,42.0,95386.82,42,0.0,1.0,0.0
21,0.0,2,0,0.0,10.5,0.0,0,0.0,0.0,0.0
45,131038.14,1,0,1.7706650790270502,45.0,131038.14,0,1.0,0.0,1.0
37,103769.22,2,0,0.5346197344944171,18.5,51884.61,0,1.0,0.0,0.0
74,0.0,2,1,0.0,37.0,0.0,74,0.0,0.0,0.0
30,0.0,2,0,0.0,15.0,0.0,0,0.0,1.0,1.0
39,135134.99,1,0,0.7780553652343637,39.0,135134.99,0,1.0,0.0,0.0
33,80002.33,1,1,0.7686647011201617,33.0,80002.33,33,1.0,0.0,1.0
41,100254.76,2,1,7.889931823207811,20.5,50127.38,41,0.0,0.0,1.0
44,92436.86,1,0,0.7334285458118808,44.0,92436.86,0,0.0,0.0,0.0
31,0.0,2,0,0.0,15.5,0.0,0,0.0,0.0,0.0
39,137843.8,1,1,1.1719139486562127,39.0,137843.8,39,1.0,0.0,0.0
47,154543.98,1,0,5.223422122012132,47.0,154543.98,0,0.0,0.0,0.0
38,0.0,1,1,0.0,38.0,0.0,38,0.0,0.0,1.0
49,0.0,1,0,0.0,49.0,0.0,0,0.0,1.0,1.0
60,143262.04,1,1,1.1057348740849413,60.0,143262.04,60,0.0,0.0,0.0
33,0.0,2,0,0.0,16.5,0.0,0,0.0,1.0,1.0
51,105701.91,1,1,0.5878932660963185,51.0,105701.91,51,1.0,0.0,0.0
37,134752.08,1,0,0.8291846333383689,37.0,134752.08,0,0.0,0.0,1.0
33,115409.6,1,1,74.97976234561885,33.0,115409.6,33,0.0,1.0,0.0
31,82613.56,2,0,0.5538181302361076,15.5,41306.78,0,0.0,1.0,1.0
34,199229.14,1,0,2.9252678423681577,34.0,199229.14,0,0.0,1.0,1.0
34,65812.35,2,1,0.41043884392717517,17.0,32906.175,34,0.0,1.0,1.0
33,116474.28,2,1,3.5556468661423093,16.5,58237.14,33,0.0,1.0,1.0
37,171653.17,1,1,32.066004498311266,37.0,171653.17,37,0.0,1.0,1.0
43,0.0,2,0,0.0,21.5,0.0,0,0.0,1.0,0.0
75,0.0,2,1,0.0,37.5,0.0,75,0.0,1.0,0.0
37,0.0,2,1,0.0,18.5,0.0,37,0.0,1.0,1.0
38,130588.82,1,1,0.8425213441959503,38.0,130588.82,38,0.0,0.0,1.0
33,109341.87,1,0,1.4456941818084699,33.0,109341.87,0,1.0,0.0,1.0
38,0.0,2,0,0.0,19.0,0.0,0,0.0,0.0,1.0
30,116295.29,1,0,1.5447242343044414,30.0,116295.29,0,0.0,0.0,1.0
33,173331.52,1,0,1.1520651515610734,33.0,173331.52,0,0.0,1.0,0.0
37,0.0,2,0,0.0,18.5,0.0,0,0.0,0.0,1.0
38,0.0,2,0,0.0,19.0,0.0,0,0.0,0.0,0.0
35,71829.34,1,1,1.054113825967921,35.0,71829.34,35,0.0,1.0,1.0
30,0.0,2,1,0.0,15.0,0.0,30,0.0,1.0,1.0
46,0.0,2,0,0.0,23.0,0.0,0,0.0,0.0,0.0
54,123699.28,2,1,1.1756055021318785,27.0,61849.64,54,1.0,0.0,0.0
33,127343.4,1,1,1.0456041704813148,33.0,127343.4,33,0.0,1.0,1.0
38,122267.85,1,0,0.8388303287467277,38.0,122267.85,0,0.0,1.0,1.0
39,0.0,2,0,0.0,19.5,0.0,0,0.0,0.0,0.0
45,85325.93,1,0,3.782388998676344,45.0,85325.93,0,0.0,0.0,0.0
32,0.0,2,1,0.0,16.0,0.0,32,0.0,0.0,1.0
33,0.0,2,0,0.0,16.5,0.0,0,0.0,0.0,0.0
31,0.0,2,1,0.0,15.5,0.0,31,0.0,1.0,1.0
42,0.0,2,0,0.0,21.0,0.0,0,0.0,0.0,0.0
36,138992.48,2,0,1.1358061252190224,18.0,69496.24,0,1.0,0.0,1.0
38,61482.47,1,1,0.36697482240815343,38.0,61482.47,38,1.0,0.0,0.0
71,0.0,2,1,0.0,35.5,0.0,71,0.0,0.0,0.0
48,118469.38,1,1,0.7470155321654389,48.0,118469.38,48,0.0,0.0,1.0
35,129717.3,2,0,1.4920804902849414,17.5,64858.65,0,0.0,0.0,1.0
55,119327.93,1,1,0.9990645485762434,55.0,119327.93,55,1.0,0.0,0.0
32,117337.54,2,1,1.8681076265253918,16.0,58668.77,32,0.0,0.0,1.0
43,86920.86,1,1,0.5792855997036156,43.0,86920.86,43,1.0,0.0,1.0
39,129669.32,2,0,1.5665451753187924,19.5,64834.66,0,0.0,0.0,1.0
27,0.0,1,1,0.0,27.0,0.0,27,0.0,1.0,1.0
30,0.0,1,0,0.0,30.0,0.0,0,0.0,0.0,0.0
31,102289.85,1,1,0.8860739701767976,31.0,102289.85,31,0.0,1.0,0.0
34,0.0,2,0,0.0,17.0,0.0,0,0.0,0.0,0.0
24,0.0,1,1,0.0,24.0,0.0,24,0.0,0.0,1.0
46,0.0,1,0,0.0,46.0,0.0,0,0.0,1.0,1.0
52,100755.66,1,1,0.539448668921605,52.0,100755.66,52,0.0,0.0,1.0
50,133204.91,1,1,16.10688556068517,50.0,133204.91,50,0.0,1.0,0.0
49,110132.55,3,1,0.5867792786516867,16.333333333333332,36710.85,49,0.0,1.0,0.0
30,0.0,2,0,0.0,15.0,0.0,0,0.0,0.0,1.0
60,128981.07,1,1,0.7290187702406585,60.0,128981.07,60,1.0,0.0,0.0
33,138162.81,1,0,1.6175939739059395,33.0,138162.81,0,0.0,0.0,0.0
32,137649.47,1,0,0.6927004092156633,32.0,137649.47,0,0.0,0.0,0.0
36,130809.77,1,0,0.8589502232184484,36.0,130809.77,0,1.0,0.0,1.0
42,99580.13,1,0,4.74011422337057,42.0,99580.13,0,0.0,0.0,1.0
31,149085.9,2,1,0.7564841542427806,15.5,74542.95,31,1.0,0.0,1.0
38,135157.05,1,1,4.105693538950565,38.0,135157.05,38,1.0,0.0,0.0
43,110646.54,1,0,1.0169318706947925,43.0,110646.54,0,0.0,1.0,0.0
60,120731.39,4,1,0.8738512874664041,15.0,30182.8475,60,0.0,0.0,0.0
40,114318.78,2,0,0.8839056552086312,20.0,57159.39,0,1.0,0.0,1.0
30,77949.69,1,1,0.6434069387195168,30.0,77949.69,30,1.0,0.0,0.0
36,89772.3,1,0,0.5060910902288193,36.0,89772.3,0,0.0,1.0,1.0
38,0.0,2,1,0.0,19.0,0.0,38,0.0,0.0,0.0
38,120530.13,2,0,1.1017921173820067,19.0,60265.065,0,1.0,0.0,0.0
30,0.0,2,1,0.0,15.0,0.0,30,0.0,0.0,0.0
33,0.0,2,1,0.0,16.5,0.0,33,0.0,1.0,1.0
35,0.0,2,0,0.0,17.5,0.0,0,0.0,1.0,0.0
30,89182.09,1,1,6.793842415193229,30.0,89182.09,30,0.0,0.0,1.0
24,98567.1,1,0,0.524329314030794,24.0,98567.1,0,0.0,1.0,0.0
52,97720.35,2,0,0.5581757315063254,26.0,48860.175,0,1.0,0.0,1.0
40,0.0,2,1,0.0,20.0,0.0,40,0.0,0.0,0.0
43,79757.21,1,0,0.5879600933927959,43.0,79757.21,0,0.0,1.0,1.0
42,0.0,2,1,0.0,21.0,0.0,42,0.0,0.0,1.0
40,104784.23,1,0,0.7752390877554752,40.0,104784.23,0,0.0,1.0,1.0
39,120145.96,2,1,2.01936130908091,19.5,60072.98,39,0.0,0.0,0.0
29,132450.24,1,1,3.6612100132046574,29.0,132450.24,29,0.0,1.0,1.0
47,0.0,1,0,0.0,47.0,0.0,0,0.0,0.0,1.0
38,0.0,1,0,0.0,38.0,0.0,0,0.0,1.0,1.0
31,0.0,2,0,0.0,15.5,0.0,0,0.0,1.0,0.0
35,57369.61,1,1,0.5641075687781791,35.0,57369.61,35,0.0,0.0,1.0
21,176511.08,1,1,1.146769930552334,21.0,176511.08,21,0.0,0.0,0.0
23,156123.73,1,0,2.138956074081848,23.0,156123.73,0,0.0,0.0,0.0
31,0.0,2,0,0.0,15.5,0.0,0,0.0,0.0,0.0
59,0.0,2,1,0.0,29.5,0.0,59,0.0,0.0,0.0
32,59271.82,1,1,1.2879737971548104,32.0,59271.82,32,0.0,0.0,1.0
59,0.0,1,0,0.0,59.0,0.0,0,0.0,0.0,0.0
41,0.0,2,1,0.0,20.5,0.0,41,0.0,0.0,1.0
31,93249.4,1,0,1.2057735264738494,31.0,93249.4,0,0.0,0.0,1.0
54,0.0,1,0,0.0,54.0,0.0,0,0.0,0.0,1.0
42,63227.0,1,1,0.4604478185841275,42.0,63227.0,42,1.0,0.0,1.0
36,0.0,2,1,0.0,18.0,0.0,36,0.0,1.0,1.0
44,95671.75,2,1,0.8977793622063854,22.0,47835.875,44,0.0,0.0,0.0
82,0.0,2,1,0.0,41.0,0.0,82,0.0,0.0,0.0
65,0.0,2,1,0.0,32.5,0.0,65,0.0,0.0,1.0
35,106518.52,1,1,0.8324893567351647,35.0,106518.52,35,0.0,1.0,1.0
23,0.0,2,1,0.0,11.5,0.0,23,0.0,1.0,1.0
44,109528.28,1,0,4.005916252981259,44.0,109528.28,0,0.0,0.0,0.0
36,0.0,2,1,0.0,18.0,0.0,36,0.0,0.0,1.0
24,0.0,2,0,0.0,12.0,0.0,0,0.0,0.0,0.0
39,86350.87,2,0,0.8217589880827589,19.5,43175.435,0,1.0,0.0,1.0
44,0.0,1,1,0.0,44.0,0.0,44,0.0,0.0,1.0
35,0.0,2,0,0.0,17.5,0.0,0,0.0,0.0,1.0
37,107548.94,1,0,1.5110294293268203,37.0,107548.94,0,0.0,0.0,1.0
27,135096.05,1,1,0.7242834852317978,27.0,135096.05,27,1.0,0.0,1.0
52,111284.53,1,1,3.378766193310509,52.0,111284.53,52,0.0,1.0,1.0
36,0.0,2,1,0.0,18.0,0.0,36,0.0,0.0,0.0
34,156478.62,1,1,0.8635839846142943,34.0,156478.62,34,0.0,1.0,1.0
31,96288.26,1,0,1.695373144656203,31.0,96288.26,0,0.0,0.0,1.0
42,0.0,2,0,0.0,21.0,0.0,0,0.0,0.0,0.0
32,63763.49,1,0,0.40719223306724456,32.0,63763.49,0,0.0,0.0,0.0
41,142015.76,2,0,1.2422254500949323,20.5,71007.88,0,1.0,0.0,0.0
27,117307.44,2,1,4.8836405918447126,13.5,58653.72,27,0.0,0.0,0.0
62,0.0,2,1,0.0,31.0,0.0,62,0.0,1.0,1.0
48,0.0,1,1,0.0,48.0,0.0,48,0.0,0.0,1.0
41,127841.52,1,0,0.7416975563433098,41.0,127841.52,0,1.0,0.0,1.0
37,0.0,2,1,0.0,18.5,0.0,37,0.0,0.0,0.0
38,0.0,2,0,0.0,19.0,0.0,0,0.0,0.0,0.0
30,0.0,2,0,0.0,15.0,0.0,0,0.0,1.0,1.0
37,177657.35,1,1,2.302981683724316,37.0,177657.35,37,0.0,1.0,1.0
30,0.0,2,1,0.0,15.0,0.0,30,0.0,0.0,0.0
47,95523.16,1,0,1.3032790463893054,47.0,95523.16,0,1.0,0.0,0.0
50,143054.56,1,1,1.3051374246285494,50.0,143054.56,50,0.0,0.0,0.0
28,135936.1,2,1,1.2295217788255335,14.0,67968.05,28,0.0,1.0,1.0
38,88758.95,2,0,3.1445645261574815,19.0,44379.475,0,0.0,0.0,0.0
32,0.0,1,0,0.0,32.0,0.0,0,0.0,1.0,0.0
38,0.0,2,0,0.0,19.0,0.0,0,0.0,0.0,0.0
43,128412.61,1,1,0.9236701840131413,43.0,128412.61,43,0.0,1.0,0.0
21,0.0,2,1,0.0,10.5,0.0,21,0.0,0.0,1.0
47,109387.33,1,0,0.9013053550248444,47.0,109387.33,0,0.0,0.0,0.0
43,140121.17,1,0,12.397141390995072,43.0,140121.17,0,1.0,0.0,1.0
35,0.0,2,0,0.0,17.5,0.0,0,0.0,1.0,1.0
29,0.0,2,1,0.0,14.5,0.0,29,0.0,0.0,0.0
31,56116.3,2,0,25.718534881802434,15.5,28058.15,0,1.0,0.0,0.0
44,0.0,2,0,0.0,22.0,0.0,0,0.0,0.0,1.0
37,138476.41,2,1,2.6443302679974465,18.5,69238.205,37,1.0,0.0,1.0
48,0.0,2,1,0.0,24.0,0.0,48,0.0,1.0,1.0
35,0.0,2,1,0.0,17.5,0.0,35,0.0,0.0,1.0
37,0.0,2,1,0.0,18.5,0.0,37,0.0,0.0,0.0
44,155114.9,1,0,1.1586821514279741,44.0,155114.9,0,0.0,0.0,0.0
38,138131.34,1,1,1.1915285239914308,38.0,138131.34,38,0.0,0.0,1.0
33,0.0,2,0,0.0,16.5,0.0,0,0.0,0.0,1.0
26,0.0,2,1,0.0,13.0,0.0,26,0.0,1.0,0.0
19,0.0,2,1,0.0,9.5,0.0,19,0.0,0.0,1.0
26,0.0,1,0,0.0,26.0,0.0,0,0.0,0.0,1.0
36,0.0,2,0,0.0,18.0,0.0,0,0.0,0.0,1.0
41,150463.11,2,1,1.8450778543975979,20.5,75231.555,41,1.0,0.0,0.0
31,0.0,2,1,0.0,15.5,0.0,31,0.0,1.0,1.0
44,137148.68,1,0,1.4845981874413368,44.0,137148.68,0,0.0,0.0,1.0
41,110624.99,1,0,1.2384179504514112,41.0,110624.99,0,1.0,0.0,0.0
34,170600.78,1,1,32.554108076854824,34.0,170600.78,34,0.0,1.0,1.0
24,87413.19,1,0,1.3800488312008166,24.0,87413.19,0,0.0,0.0,0.0
37,102708.77,1,0,11.3018174895822,37.0,102708.77,0,1.0,0.0,1.0
39,0.0,2,1,0.0,19.5,0.0,39,0.0,1.0,0.0
43,103018.45,1,0,3.173470899708863,43.0,103018.45,0,1.0,0.0,1.0
38,119272.29,1,0,0.608853324093084,38.0,119272.29,0,0.0,0.0,1.0
39,0.0,2,0,0.0,19.5,0.0,0,0.0,0.0,0.0
43,106086.42,2,0,3.9436407251428682,21.5,53043.21,0,0.0,0.0,1.0
31,0.0,2,0,0.0,15.5,0.0,0,0.0,1.0,0.0
26,105249.76,2,1,4.480411934908086,13.0,52624.88,26,1.0,0.0,0.0
30,0.0,2,0,0.0,15.0,0.0,0,0.0,0.0,1.0
34,0.0,2,0,0.0,17.0,0.0,0,0.0,0.0,1.0
37,0.0,2,1,0.0,18.5,0.0,37,0.0,0.0,1.0
36,59893.85,2,0,1.3612350010136447,18.0,29946.925,0,0.0,1.0,1.0
41,129901.21,1,0,4.991285887741301,41.0,129901.21,0,1.0,0.0,1.0
33,0.0,2,1,0.0,16.5,0.0,33,0.0,0.0,0.0
74,108131.53,1,1,1.7775909011253916,74.0,108131.53,74,0.0,0.0,1.0
52,170228.59,2,0,1.1464936421036525,26.0,85114.295,0,0.0,0.0,0.0
23,137060.88,2,1,0.8295296120379189,11.5,68530.44,23,1.0,0.0,1.0
34,0.0,1,0,0.0,34.0,0.0,0,0.0,0.0,1.0
40,162261.01,2,0,1.1841405120729984,20.0,81130.505,0,1.0,0.0,0.0
27,120509.81,1,0,0.8476432231622832,27.0,120509.81,0,0.0,0.0,1.0
62,0.0,2,1,0.0,31.0,0.0,62,0.0,0.0,1.0
45,57327.04,1,1,1.2107339120150373,45.0,57327.04,45,0.0,0.0,0.0
25,111363.1,2,0,0.5645373834653854,12.5,55681.55,0,1.0,0.0,1.0
32,0.0,2,1,0.0,16.0,0.0,32,0.0,1.0,1.0
55,132436.34,1,0,135.324157521509,55.0,132436.34,0,0.0,0.0,1.0
38,123081.84,2,1,0.6524073167966347,19.0,61540.92,38,0.0,1.0,0.0
26,135219.57,1,1,2.263178807259803,26.0,135219.57,26,0.0,1.0,0.0
35,110349.82,1,0,0.8733261156195442,35.0,110349.82,0,0.0,1.0,1.0
41,156067.05,1,1,15.631903628649383,41.0,156067.05,41,0.0,0.0,0.0
48,122831.58,1,1,5.006608409836353,48.0,122831.58,48,1.0,0.0,1.0
24,92398.08,1,1,4.889488386959188,24.0,92398.08,24,1.0,0.0,1.0
35,97560.16,1,1,1.8231543209022918,35.0,97560.16,35,0.0,0.0,1.0
46,143267.14,2,0,0.7419345567203385,23.0,71633.57,0,0.0,0.0,1.0
37,0.0,2,0,0.0,18.5,0.0,0,0.0,1.0,0.0
40,77270.08,2,1,0.6672712717864665,20.0,38635.04,40,1.0,0.0,0.0
38,0.0,1,0,0.0,38.0,0.0,0,0.0,0.0,1.0
39,104349.45,1,0,1.312521343520783,39.0,104349.45,0,0.0,1.0,1.0
45,0.0,2,1,0.0,22.5,0.0,45,0.0,0.0,0.0
30,64097.75,1,1,0.8240548909246002,30.0,64097.75,30,0.0,0.0,1.0
45,123086.39,1,1,2.9990056624368946,45.0,123086.39,45,1.0,0.0,0.0
42,82228.67,2,0,1.1523111478202428,21.0,41114.335,0,0.0,0.0,0.0
39,0.0,1,1,0.0,39.0,0.0,39,0.0,0.0,1.0
42,128707.31,1,0,2.0399731188973673,42.0,128707.31,0,1.0,0.0,0.0
40,0.0,1,1,0.0,40.0,0.0,40,0.0,1.0,0.0
25,114330.95,1,1,4.514536386276523,25.0,114330.95,25,1.0,0.0,0.0
43,0.0,2,0,0.0,21.5,0.0,0,0.0,0.0,1.0
38,128578.52,1,1,0.6631911912258868,38.0,128578.52,38,0.0,1.0,1.0
65,151659.52,2,1,21.88395378468349,32.5,75829.76,65,0.0,0.0,0.0
29,78885.88,2,1,2.929545014815605,14.5,39442.94,29,1.0,0.0,0.0
54,150005.38,1,0,0.9553539618700065,54.0,150005.38,0,0.0,0.0,0.0
30,121535.18,1,0,3.014753629494062,30.0,121535.18,0,0.0,0.0,1.0
33,141234.98,1,0,1.4762253320031085,33.0,141234.98,0,0.0,0.0,1.0
31,132876.55,1,1,1.0153936078212402,31.0,132876.55,31,0.0,1.0,1.0
38,141074.59,1,0,2.6720919334883466,38.0,141074.59,0,0.0,0.0,1.0
34,0.0,2,0,0.0,17.0,0.0,0,0.0,0.0,1.0
36,156948.41,1,1,1.0469349809101696,36.0,156948.41,36,0.0,0.0,0.0
22,67178.19,1,1,0.41078847156338333,22.0,67178.19,22,0.0,1.0,0.0
33,182888.08,1,0,59.747820973538055,33.0,182888.08,0,0.0,0.0,1.0
28,0.0,2,1,0.0,14.0,0.0,28,0.0,0.0,0.0
51,0.0,2,1,0.0,25.5,0.0,51,0.0,0.0,1.0
43,0.0,2,0,0.0,21.5,0.0,0,0.0,1.0,0.0
36,100895.54,1,1,1.4821201983572858,36.0,100895.54,36,0.0,0.0,1.0
28,0.0,2,0,0.0,14.0,0.0,0,0.0,0.0,1.0
44,86102.27,1,0,0.477987772273754,44.0,86102.27,0,0.0,0.0,1.0
27,141223.68,2,0,1.558912542781497,13.5,70611.84,0,0.0,0.0,1.0
67,113978.97,2,1,1.2236578639730633,33.5,56989.485,67,0.0,0.0,0.0
32,192122.84,1,1,3.539643811564471,32.0,192122.84,32,0.0,0.0,0.0
72,98765.84,1,1,1.028644428666904,72.0,98765.84,72,0.0,1.0,0.0
52,96196.24,4,0,0.4837031913389408,13.0,24049.06,0,0.0,1.0,1.0
37,96651.03,1,1,29.89681763908909,37.0,96651.03,37,0.0,0.0,1.0
